# CONVERGE Release Build 2.4.21/  Sep 13, 2018       Run Date:Sat Apr  1 22:40:33 2023
# column             1                     2                     3                     4                     5                     6                     7                     8                     9                    10                    11                    12                    13                    14
#                 Time          Cycle_Number             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp
#            (seconds)              (number)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)
#               (none)                (none)        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3
         2.3000000e-02                     0        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         8.3984126e+05         8.3984126e+05         9.4983748e+02
         2.3080328e-02                    35        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00         1.3358651e-02         5.1744363e-06         4.0258529e+00         2.0940120e+05         2.0925838e+05         9.3947274e+02
         2.3167622e-02                    45        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -1.2922050e-02         4.3975278e-06        -2.6941986e+00         2.8346890e+05         2.8325804e+05         9.0234056e+02
         2.3248055e-02                    51        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00         5.8411493e-03         4.4120794e-06         1.2636292e+00         2.6900388e+05         2.6894258e+05         8.4036388e+02
         2.3325571e-02                    56        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -2.5974221e-03         4.5220529e-06        -5.8208758e-01         2.4869674e+05         2.4864502e+05         8.0664106e+02
         2.3403296e-02                    61        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -2.7386341e-03         4.2201176e-06        -5.6631703e-01         2.6485422e+05         2.6480079e+05         7.7826973e+02
         2.3483334e-02                    66        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -2.3673439e-04         4.1640702e-06        -4.8237978e-02         2.6012770e+05         2.6009190e+05         7.5211908e+02
         2.3565907e-02                    71        -0.0000000e+00        -0.0000000e+00        -0.0000000e+00         0.0000000e+00         0.0000000e+00         0.0000000e+00        -1.6613544e-03         4.0682397e-06        -3.3360004e-01         2.5883269e+05         2.5879853e+05         7.2779333e+02
         2.3641224e-02                    87         1.5366071e-02         2.3224915e-07         3.3757120e+02         7.7762450e+05         7.1474451e+05         1.1016030e+03        -1.2095684e-03         3.9566655e-06        -2.3832528e-01         2.6083989e+05         2.6081092e+05         7.1065699e+02
         2.3720237e-02                   240         3.5326616e-02         1.9811622e-06         2.9341426e+02         1.0415216e+06         6.9425849e+05         1.2432267e+03        -4.8312910e-04         3.8985469e-06        -1.1629884e-01         2.5971480e+05         2.5968867e+05         6.9487378e+02
         2.3800553e-02                   397         6.0831385e-02         5.9626638e-06         3.2274991e+02         9.8729551e+05         6.3413245e+05         1.2378767e+03        -7.6781919e-04         3.8468991e-06        -1.8154154e-01         2.5975118e+05         2.5972680e+05         6.8016574e+02
         2.3880466e-02                   544         7.7203367e-02         1.1509026e-05         2.4875144e+02         8.9501619e+05         5.9771725e+05         1.2321252e+03        -4.5574304e-04         3.7900777e-06        -1.0634163e-01         2.6066091e+05         2.6064013e+05         6.6550053e+02
